Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Western,Outerwear,Blazers & Vests,Brand,H&M,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=brandNames:H&M&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Fits,Loose Fit,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=fits:Loose fit&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Fits,Oversized,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=fits:Oversized&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Fits,Regular Fit,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=fits:Regular fit&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Fits,Relaxed Fit,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=fits:Relaxed fit&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Fits,Slim Fit,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=fits:Slim fit&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ProductTypes,Blazer,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=productTypes:Blazer&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ProductTypes,Vest,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=productTypes:Vest&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,CustomerGroups,Woman,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=customerGroups:Woman&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Occasions,Christmas,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=occasions:Christmas&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Occasions,New Year'S Eve,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=occasions:New Year's Eve&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,AssortmentTypes,Clothing,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=assortmentTypes:Clothing&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,AgeGroups,Adult,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=ageGroups:Adult&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Concepts,Divided,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=concepts:DIVIDED&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Concepts,Everyday Fashion,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=concepts:EVERYDAY FASHION&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Concepts,H&M Edition,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=concepts:H&M EDITION&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Concepts,Modern Classic,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=concepts:MODERN CLASSIC&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Collection,H&M Studio Collection,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=collection:H&M Studio Collection&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Trendings,Animal Pattern,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=trendings:Animal pattern&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Trendings,Bows,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=trendings:Bows&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Trendings,Faux Fur,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=trendings:Faux fur&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Trendings,Pastel Colors,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=trendings:Pastel colors&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Trendings,Pearls,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=trendings:Pearls&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Trendings,Print,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=trendings:Print&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Trendings,Rhinestones,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=trendings:Rhinestones&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,Trendings,Sequin,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=trendings:Sequin&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
