Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Product_Type,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=strappydress,Style,Strappy Dress
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?necklineStyles=halterneck,Neckline,Halterneck
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?necklineStyles=low-cutneckline,Neckline,Low-cut Neckline
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?necklineStyles=plungeneckline,Neckline,Plunge Neckline
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?necklineStyles=roundneck,Neckline,Round Neck
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?necklineStyles=squareneckline,Neckline,Square Neckline
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?necklineStyles=sweetheartneckline,Neckline,Sweetheart Neckline
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?necklineStyles=v-neck,Neckline,V-neck
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?sleeveLengths=34sleeve,Sleeve length,3/4 sleeve
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?sleeveLengths=longsleeve,Sleeve length,Long sleeve
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?sleeveLengths=shortsleeve,Sleeve length,Short sleeve
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?sleeveLengths=sleeveless,Sleeve length,Sleeveless
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?garmentLengths=long,Length,Long
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?garmentLengths=maxi,Length,Maxi
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?garmentLengths=midi,Length,Midi
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?garmentLengths=short,Length,Short
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?sleeveStyles=balloonsleeve,Sleeve style,Balloon Sleeve
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?sleeveStyles=puffsleeve,Sleeve style,Puff Sleeve
