Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,_id
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Tops,extra.Style,Tops,"{""field"": ""extra.Style"", ""value"": [""Tops""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=L/XL,skus.customFields.size,L/XL,"{""field"": ""skus.customFields.size"", ""value"": [""L/XL""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=M/L,skus.customFields.size,M/L,"{""field"": ""skus.customFields.size"", ""value"": [""M/L""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=S/M,skus.customFields.size,S/M,"{""field"": ""skus.customFields.size"", ""value"": [""S/M""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 0,skus.customFields.size,US 0,"{""field"": ""skus.customFields.size"", ""value"": [""US 0""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 10,skus.customFields.size,US 10,"{""field"": ""skus.customFields.size"", ""value"": [""US 10""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 12,skus.customFields.size,US 12,"{""field"": ""skus.customFields.size"", ""value"": [""US 12""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 14,skus.customFields.size,US 14,"{""field"": ""skus.customFields.size"", ""value"": [""US 14""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 16,skus.customFields.size,US 16,"{""field"": ""skus.customFields.size"", ""value"": [""US 16""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 18,skus.customFields.size,US 18,"{""field"": ""skus.customFields.size"", ""value"": [""US 18""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 2,skus.customFields.size,US 2,"{""field"": ""skus.customFields.size"", ""value"": [""US 2""]}"
