Attr_Name,Attr_Value,Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url
Occasion,Summer,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Occasion/Summer&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Vacation,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Occasion/Vacation&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Wedding,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Occasion/Wedding&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Wedding Guest,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Occasion/Wedding%20Guest&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Work,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Occasion/Work&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Black,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Black&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Blue,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Blue&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Brown,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Brown&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Gold,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Gold&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Gray,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Gray&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Green,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Green&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Ivory/Cream,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Ivory%2FCream&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Multi,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Multi&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Orange,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Orange&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Pink,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Pink&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Purple,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Purple&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Red,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Red&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Silver,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Silver&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Tan/Beige,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Tan%2FBeige&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,White,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/White&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Color,Yellow,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Color_normal/Yellow&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Length,Mini,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Dress_length/Mini&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Length,Knee Length,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Dress_length/Knee%20Length&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Length,High Low,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Dress_length/High%20Low&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Length,Long,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Dress_length/Long&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Length,Midi,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Dress_length/Midi&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
Length,Short/Above The Knee,Clothing,Women,Western,Topwear,Tops,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-tops/Dress_length/Short%2FAbove%20The%20Knee&id=255&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=2&_application=SITE&_additionalStoreLocations=5133&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=01924d4e5a27001a8f34c6bd74680507d01d3075007e8&visitorId=80934390978429631027343511310562026974&customerId=&_deviceType=DESKTOP&_customerState=GUEST
