Product_Category,Product_Type,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.neckline=Halter&bgfilter.navigationid=324&filter.neckline=Halter&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Neckline,Halter
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.neckline=Mock Neck&bgfilter.navigationid=324&filter.neckline=Mock Neck&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Neckline,Mock Neck
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.neckline=Off Shoulder&bgfilter.navigationid=324&filter.neckline=Off Shoulder&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Neckline,Off Shoulder
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.neckline=Round&bgfilter.navigationid=324&filter.neckline=Round&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Neckline,Round
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.neckline=Square&bgfilter.navigationid=324&filter.neckline=Square&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Neckline,Square
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.neckline=Turtle Neck&bgfilter.navigationid=324&filter.neckline=Turtle Neck&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Neckline,Turtle Neck
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.neckline=V-neck&bgfilter.navigationid=324&filter.neckline=V-neck&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Neckline,V-neck
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.print=Solid&bgfilter.navigationid=324&filter.print=Solid&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Print,Solid
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.print=Floral&bgfilter.navigationid=324&filter.print=Floral&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Print,Floral
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.print=Striped&bgfilter.navigationid=324&filter.print=Striped&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Print,Striped
