Product_Category,Category,Subcategory1,Category2,Category3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=11,Color,Gold
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=21,Color,No color
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=12,Color,Silver
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=14,Color,Copper
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=34,Color,Auburn
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=61468,Style,Other
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8364,Style,Long Sleeve
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8314,Style,A Line
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=72016,Style,Split
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8334,Style,Bodycon
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=null&keyStoreDataversion=4i7nlxk-44&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8307,Style,Bandeau
