Display_Title,Item_Url,Original_Price,Selling_Price,Native_Product_Id,Brand,Category,Subcategory1,Subcategory2,Subcategory3,Product_Category,Referrer_Url
Gisele Maxi Dress,https://www.revolve.com/leslie-amon-gisele-maxi-dress-in-black-white-gingham/dp/LAMO-WD6/,352,198,LAMO-WD6,Leslie Amon,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
X REVOLVE Hillary Gown,https://www.revolve.com/michael-costello-x-revolve-hillary-gown-in-purple/dp/MELR-WD655/,248,234,MELR-WD655,Michael Costello,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Ribbon Strap Devin Short Dress,https://www.revolve.com/montce-swim-ribbon-strap-devin-short-dress-in-seychelles/dp/MNTS-WD15/,218,218,MNTS-WD15,Montce Swim,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Lilah Mini Dress,https://www.revolve.com/more-to-come-lilah-mini-dress-in-peach/dp/MOTO-WD451/,88,83,MOTO-WD451,MORE TO COME,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
The Sasha Dress,https://www.revolve.com/solid-striped-the-sasha-dress-in-noir/dp/SLST-WD107/,298,298,SLST-WD107,Solid & Striped,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Jacques Contrast Mini Dress,https://www.revolve.com/minkpink-jacques-contrast-mini-dress-in-orange/dp/MINK-WD923/,139,139,MINK-WD923,MINKPINK,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Kinsley Maxi Dress,https://www.revolve.com/solace-london-kinsley-maxi-dress-in-cream-black/dp/SOLA-WD179/,825,825,SOLA-WD179,SOLACE London,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Crush Buttoned Mini Dress,https://www.revolve.com/zimmermann-crush-buttoned-mini-dress-in-lilac-floral/dp/ZIMM-WD566/,950,950,ZIMM-WD566,Zimmermann,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Pickleball Mini Dress,https://www.revolve.com/norma-kamali-pickleball-mini-dress-in-butter-yellow/dp/NKAM-WD596/,145,67,NKAM-WD596,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Fiori Dress,https://www.revolve.com/amanda-uprichard-fiori-dress-in-pacific/dp/AMAN-WD1754/,194,138,AMAN-WD1754,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Sheila Midi Dress,https://www.revolve.com/nbd-sheila-midi-dress-in-lilac-leo/dp/NBDR-WD2859/,238,93,NBDR-WD2859,NBD,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Charli Dress,https://www.revolve.com/cult-gaia-charli-dress-in-hydrangea-multi/dp/CULG-WD322/,898,503,CULG-WD322,Cult Gaia,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Flared Maxi Dress,https://www.revolve.com/rococo-sand-flared-maxi-dress-in-pink-multi/dp/ROCS-WD337/,598,598,ROCS-WD337,ROCOCO SAND,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
