Attr_Name,Attr_Value,Counts
-1::Is App Exclusive,false,103
6::Silhouette,A Line,20
6::Silhouette,Fit & Flare,0
6::Silhouette,House Dress,0
6::Silhouette,Jumpsuits,0
6::Silhouette,Jumpsuits & Rompers,0
6::Silhouette,Knit Dress,1
6::Silhouette,Matching Sets,0
6::Silhouette,Maternity,0
6::Silhouette,Maxi,0
6::Silhouette,Nonwaisted,2
6::Silhouette,Sheath,13
6::Silhouette,Sheath Dress,4
6::Silhouette,Shift,2
6::Silhouette,Shift Dress,5
6::Silhouette,Shirt Dress,10
6::Silhouette,Slip,3
6::Silhouette,Slip Dress,8
6::Silhouette,Sweater Dress,0
6::Silhouette,Tunic,0
6::Silhouette,Tunic Dress,0
6::Silhouette,Turtleneck,1
6::Silhouette,Vacation,0
6::Silhouette,Wrap Dress,0
2::Length,Mini,17
2::Length,Knee Length,4
2::Length,Midi,21
2::Length,Maxi,23
2::Length,Full Length,0
7::Fabric,Cashmere,5
7::Fabric,Cashmere Blends,0
7::Fabric,Chambray,0
7::Fabric,Chino,0
7::Fabric,CloudStretch,0
7::Fabric,Corduroy,0
7::Fabric,Cotton,4
7::Fabric,Cotton Blend,0
7::Fabric,Cotton Blends,3
7::Fabric,Cupro,0
7::Fabric,Denim,0
7::Fabric,Faux Leather,4
7::Fabric,FormKnit,0
7::Fabric,Gauze,0
7::Fabric,Knit,0
7::Fabric,Lace,0
7::Fabric,Leather,0
7::Fabric,Linen,0
7::Fabric,Linen Blends,0
7::Fabric,Linen Cupro,0
7::Fabric,Other,40
7::Fabric,Silk,0
7::Fabric,Suede,0
7::Fabric,Velvet,0
7::Fabric,Wool,2
7::Fabric,Wool Blends,4
1::Occasion,Everyday,25
1::Occasion,Party,67
1::Occasion,Workwear,7
1::Occasion,Activewear,0
1::Occasion,Lounge,3
1::Occasion,Beachwear,25
1::Occasion,Casual Office,0
1::Occasion,Casual Wedding,3
