Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Refinement,Ref_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Plunging,Neckline,Plunging,tile.product.facets.neck,Plunging
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Scoop Neck,Neckline,Scoop Neck,tile.product.facets.neck,Scoop Neck
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Sweetheart,Neckline,Sweetheart,tile.product.facets.neck,Sweetheart
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Crew Neck,Neckline,Crew Neck,tile.product.facets.neck,Crew Neck
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Straight Neck,Neckline,Straight Neck,tile.product.facets.neck,Straight Neck
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Turtleneck + Mock Neck,Neckline,Turtleneck + Mock Neck,tile.product.facets.neck,Turtleneck + Mock Neck
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Boat,Neckline,Boat,tile.product.facets.neck,Boat
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Cowl Neck,Neckline,Cowl Neck,tile.product.facets.neck,Cowl Neck
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Off-the-Shoulder,Neckline,Off-The-Shoulder,tile.product.facets.neck,Off-the-Shoulder
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=One Shoulder,Neckline,One Shoulder,tile.product.facets.neck,One Shoulder
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Collared,Neckline,Collared,tile.product.facets.neck,Collared
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Neckline=Hooded,Neckline,Hooded,tile.product.facets.neck,Hooded
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Cotton,Material,Cotton,tile.product.facets.material,Cotton
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Lace,Material,Lace,tile.product.facets.material,Lace
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Mesh,Material,Mesh,tile.product.facets.material,Mesh
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Satin,Material,Satin,tile.product.facets.material,Satin
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Denim,Material,Denim,tile.product.facets.material,Denim
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Linen,Material,Linen,tile.product.facets.material,Linen
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Rayon,Material,Rayon,tile.product.facets.material,Rayon
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Sweater,Material,Sweater,tile.product.facets.material,Sweater
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Sequin + Shine,Material,Sequin + Shine,tile.product.facets.material,Sequin + Shine
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Chiffon,Material,Chiffon,tile.product.facets.material,Chiffon
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Crochet,Material,Crochet,tile.product.facets.material,Crochet
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Tulle,Material,Tulle,tile.product.facets.material,Tulle
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Material=Velvet,Material,Velvet,tile.product.facets.material,Velvet
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Occasion=Casual,Occasion,Casual,tile.product.facets.occasions,Casual
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Occasion=Going Out,Occasion,Going Out,tile.product.facets.occasions,Going Out
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Occasion=Special Occasion,Occasion,Special Occasion,tile.product.facets.occasions,Special Occasion
